,county,land_area,biome,tc_goal,treecanopy,tc_gap,priority_i,pctpocnorm,pctpovnorm,unemplnorm,dep_perc,depratnorm,health_nor,temp_norm,tes,tesctyscor,rank,rankgrpsz,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
644,Bexar County,1.3022,Grassland,0.3,0.1882,0.1118,0.573682165082378,0.904005524861878,0.616137889965924,0.185798591281173,0.355662983425414,0.27599142550911,0.762232358734742,0.663655811742334,75,79.0,648,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
645,Bexar County,0.4391,Grassland,0.3,0.1678,0.1322,0.589542907449079,0.880106571936057,0.758752477283444,0.21734531404839,0.397868561278863,0.330383480825959,0.762232358734742,0.582362728785358,70,79.0,745,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
646,Bexar County,0.477,Grassland,0.3,0.2515,0.0485,0.645121133580143,1.0,0.970607803999844,0.107086911899746,0.491421568627451,0.483132530120482,0.795982855125154,0.630377941526028,87,79.0,418,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
647,Bexar County,0.4181,Grassland,0.3,0.1979,0.1021,0.562147177396698,0.818993506493506,0.493558337869715,0.283071895424837,0.357142857142857,0.277777777777778,0.795982855125154,0.672450677442358,77,79.0,603,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
648,Bexar County,0.643,Grassland,0.3,0.1282,0.1718,0.616618094613512,0.828947368421053,0.799566858186461,0.539559962288535,0.195344129554656,0.121383647798742,0.795982855125154,0.680057047777514,59,79.0,890,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
649,Bexar County,0.4959,Grassland,0.3,0.2336,0.0664,0.582276457310828,0.900534759358289,0.841610895855348,0.064863255497427,0.305882352941176,0.220338983050847,0.795982855125154,0.675065367245068,85,79.0,454,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
650,Bexar County,0.8916,Grassland,0.3,0.2042,0.0958,0.612919298224287,0.932965299684543,0.815630568515965,0.224995942696115,0.472397476340694,0.447683109118087,0.759047189853724,0.602567149988115,77,79.0,603,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
651,Bexar County,0.6131,Grassland,0.3,0.2367,0.0633,0.581663783758281,0.923217550274223,0.800563407006827,0.094926859632742,0.452468007312614,0.413188647746244,0.759047189853724,0.548847159496078,85,79.0,454,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
652,Bexar County,6.3046,Grassland,0.3,0.1972,0.1028,0.592679305988614,0.967072297780959,0.738079396762031,0.400545041864984,0.448460987831067,0.40655418559377,0.77227827062924,0.547420965058236,76,79.0,633,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
653,Bexar County,1.0258,Grassland,0.3,0.1127,0.1873,0.530093742786789,0.919382504288165,0.553924740570317,0.13048128342246,0.385934819897084,0.314245810055866,0.77227827062924,0.65486094604231,61,79.0,867,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
